id,type,properties_json
evidence-bundle:C3-site_gb50009_50yr-S20260830,ResultEvidenceBundle,"{""authority_bound"": true, ""c3_response_state"": ""NOT_MATERIALIZED"", ""modal_receipt_bound"": true, ""numerical_response_metrics"": false, ""scope"": ""C3_MODEL_MIGRATION""}"
response:C3-site_gb50009_50yr-S20260830,C3CaseResponse,"{""state"": ""NOT_MATERIALIZED"", ""transferred_numeric_values"": false}"
trace:C3-site_gb50009_50yr-S20260830,AgentTrace,"{""dispatch"": false, ""final_status"": ""NOT_ARMED""}"
legacy-result:site_gb50009_50yr,LegacyResultPointer,"{""case_id"": ""site_gb50009_50yr"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_file_sha256"": ""e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49"", ""source_i08_case_id"": ""I08-site_gb50009_50yr-S20260805"", ""source_model"": ""Double-MCT"", ""source_path"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv"", ""source_row_key"": ""I08-site_gb50009_50yr-S20260805"", ""use_as_c3_truth"": false}"
decision:C3-site_gb50009_50yr-S20260830:1,AgentDecision,"{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 2, ""case_id"": ""site_gb50009_50yr"", ""grade"": ""B"", ""source_case_index"": 1, ""source_i08_case_id"": ""I08-site_gb50009_50yr-S20260805""}, ""status"": ""PASS"", ""step"": 1}"
decision:C3-site_gb50009_50yr-S20260830:2,AgentDecision,"{""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY"", ""step"": 2}"
decision:C3-site_gb50009_50yr-S20260830:3,AgentDecision,"{""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""code_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE"", ""step"": 3}"
decision:C3-site_gb50009_50yr-S20260830:4,AgentDecision,"{""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED"", ""step"": 4}"
case:C3-site_gb50009_100yr-S20260830,C3WindCase,"{""U10_mps"": 28.3, ""c3_case_id"": ""C3-site_gb50009_100yr-S20260830"", ""c3_claim"": ""code_envelope"", ""c3_layer"": ""L0"", ""c3_order"": 3, ""c3_response_state"": ""NOT_MATERIALIZED"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""grade"": ""B"", ""group"": ""G0_site"", ""gust_mps"": null, ""id"": ""site_gb50009_100yr"", ""n"": 3, ""name_cn"": ""GB50009江苏沿海100年一遇"", ""source_case_index"": 2, ""source_i08_case_id"": ""I08-site_gb50009_100yr-S20260805"", ""source_name_cn"": ""GB50009 江苏沿江100年基本风速"", ""source_stationarity"": ""stationary_ok"", ""stationary"": true, ""wind_pressure_index"": 0.529266}"
authority-record:site_gb50009_100yr,SourceAuthorityRecord,"{""Davenport_C"": ""8.0"", ""Iu"": ""0.12"", ""Kaimal_Lu_m"": ""120.0"", ""Kaimal_Lw_m"": ""60.0"", ""U10_sustained_ms"": ""28.3"", ""U_deck_ms"": ""34.551046935793615"", ""case_index"": ""2"", ""category"": ""design_code"", ""coherence_model"": ""Davenport_exp"", ""confidence"": ""B"", ""derived_seed"": ""20260805"", ""derived_u_component_seed"": ""20260816"", ""derived_w_component_seed"": ""20260834"", ""dt_s"": ""0.05"", ""duration_s"": ""600.0"", ""github_scenario_id"": ""site_gb50009_100yr"", ""github_seed_status"": ""NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP"", ""gust3s_ms"": """", ""gust3s_role"": ""METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION"", ""i08_case_id"": ""I08-site_gb50009_100yr-S20260805"", ""materialization_status"": ""NOT_MATERIALIZED_MATRIX_ONLY"", ""maximum_frequency_hz"": ""5.0"", ""minimum_frequency_hz"": ""0.0016666666666666668"", ""minimum_frequency_policy"": ""GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record"", ""name_cn"": ""GB50009 江苏沿江100年基本风速"", ""note_cn"": ""U10=sqrt(1600*0.50)=28.3"", ""region"": ""中国江苏"", ""representative_event"": ""w0=0.50 kPa (B类)"", ""sample_count"": ""12000"", ""sigma_u_definition"": ""sigma_u=Iu*U10_not_Iu*U_deck"", ""sigma_w_over_sigma_u"": ""0.5"", ""solver_execution_status"": ""NOT_EXECUTED"", ""source"": ""GB 50009-2012 附录E"", ""stationarity"": ""stationary_ok"", ""structural_damping_ratio"": ""0.005"", ""wind_profile"": ""U_deck=U10*ln(60/0.003)/ln(10/0.003)"", ""wind_spectrum"": ""Kaimal""}"
github-event:site_gb50009_100yr,GitHubEvent,"{""scenario_id"": ""site_gb50009_100yr"", ""source_case_index"": 2, ""source_stationarity"": ""stationary_ok""}"
evidence-bundle:C3-site_gb50009_100yr-S20260830,ResultEvidenceBundle,"{""authority_bound"": true, ""c3_response_state"": ""NOT_MATERIALIZED"", ""modal_receipt_bound"": true, ""numerical_response_metrics"": false, ""scope"": ""C3_MODEL_MIGRATION""}"
response:C3-site_gb50009_100yr-S20260830,C3CaseResponse,"{""state"": ""NOT_MATERIALIZED"", ""transferred_numeric_values"": false}"
trace:C3-site_gb50009_100yr-S20260830,AgentTrace,"{""dispatch"": false, ""final_status"": ""NOT_ARMED""}"
legacy-result:site_gb50009_100yr,LegacyResultPointer,"{""case_id"": ""site_gb50009_100yr"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_file_sha256"": ""e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49"", ""source_i08_case_id"": ""I08-site_gb50009_100yr-S20260805"", ""source_model"": ""Double-MCT"", ""source_path"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv"", ""source_row_key"": ""I08-site_gb50009_100yr-S20260805"", ""use_as_c3_truth"": false}"
decision:C3-site_gb50009_100yr-S20260830:1,AgentDecision,"{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 3, ""case_id"": ""site_gb50009_100yr"", ""grade"": ""B"", ""source_case_index"": 2, ""source_i08_case_id"": ""I08-site_gb50009_100yr-S20260805""}, ""status"": ""PASS"", ""step"": 1}"
decision:C3-site_gb50009_100yr-S20260830:2,AgentDecision,"{""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY"", ""step"": 2}"
decision:C3-site_gb50009_100yr-S20260830:3,AgentDecision,"{""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""code_envelope"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE"", ""step"": 3}"
decision:C3-site_gb50009_100yr-S20260830:4,AgentDecision,"{""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED"", ""step"": 4}"
case:C3-hko_t10-S20260830,C3WindCase,"{""U10_mps"": 32.8, ""c3_case_id"": ""C3-hko_t10-S20260830"", ""c3_claim"": ""threshold"", ""c3_layer"": ""L0"", ""c3_order"": 4, ""c3_response_state"": ""NOT_MATERIALIZED"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""grade"": ""B"", ""group"": ""G0_site"", ""gust_mps"": null, ""id"": ""hko_t10"", ""n"": 4, ""name_cn"": ""香港T10门槛"", ""source_case_index"": 4, ""source_i08_case_id"": ""I08-hko_t10-S20260805"", ""source_name_cn"": ""香港十号台风信号阈值"", ""source_stationarity"": ""stationary_ok"", ""stationary"": true, ""wind_pressure_index"": 0.710965}"
authority-record:hko_t10,SourceAuthorityRecord,"{""Davenport_C"": ""8.0"", ""Iu"": ""0.12"", ""Kaimal_Lu_m"": ""120.0"", ""Kaimal_Lw_m"": ""60.0"", ""U10_sustained_ms"": ""32.8"", ""U_deck_ms"": ""40.045029664100014"", ""case_index"": ""4"", ""category"": ""design_code"", ""coherence_model"": ""Davenport_exp"", ""confidence"": ""B"", ""derived_seed"": ""20260805"", ""derived_u_component_seed"": ""20260816"", ""derived_w_component_seed"": ""20260834"", ""dt_s"": ""0.05"", ""duration_s"": ""600.0"", ""github_scenario_id"": ""hko_t10"", ""github_seed_status"": ""NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP"", ""gust3s_ms"": """", ""gust3s_role"": ""METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION"", ""i08_case_id"": ""I08-hko_t10-S20260805"", ""materialization_status"": ""NOT_MATERIALIZED_MATRIX_ONLY"", ""maximum_frequency_hz"": ""5.0"", ""minimum_frequency_hz"": ""0.0016666666666666668"", ""minimum_frequency_policy"": ""GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record"", ""name_cn"": ""香港十号台风信号阈值"", ""note_cn"": ""HKO 信号定义为海平面附近10分钟平均>=118 km/h"", ""region"": ""香港"", ""representative_event"": ""T10 (>=118 km/h 持续风)"", ""sample_count"": ""12000"", ""sigma_u_definition"": ""sigma_u=Iu*U10_not_Iu*U_deck"", ""sigma_w_over_sigma_u"": ""0.5"", ""solver_execution_status"": ""NOT_EXECUTED"", ""source"": ""香港天文台热带气旋警告信号定义"", ""stationarity"": ""stationary_ok"", ""structural_damping_ratio"": ""0.005"", ""wind_profile"": ""U_deck=U10*ln(60/0.003)/ln(10/0.003)"", ""wind_spectrum"": ""Kaimal""}"
github-event:hko_t10,GitHubEvent,"{""scenario_id"": ""hko_t10"", ""source_case_index"": 4, ""source_stationarity"": ""stationary_ok""}"
evidence-bundle:C3-hko_t10-S20260830,ResultEvidenceBundle,"{""authority_bound"": true, ""c3_response_state"": ""NOT_MATERIALIZED"", ""modal_receipt_bound"": true, ""numerical_response_metrics"": false, ""scope"": ""C3_MODEL_MIGRATION""}"
response:C3-hko_t10-S20260830,C3CaseResponse,"{""state"": ""NOT_MATERIALIZED"", ""transferred_numeric_values"": false}"
trace:C3-hko_t10-S20260830,AgentTrace,"{""dispatch"": false, ""final_status"": ""NOT_ARMED""}"
legacy-result:hko_t10,LegacyResultPointer,"{""case_id"": ""hko_t10"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_file_sha256"": ""e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49"", ""source_i08_case_id"": ""I08-hko_t10-S20260805"", ""source_model"": ""Double-MCT"", ""source_path"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv"", ""source_row_key"": ""I08-hko_t10-S20260805"", ""use_as_c3_truth"": false}"
decision:C3-hko_t10-S20260830:1,AgentDecision,"{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 4, ""case_id"": ""hko_t10"", ""grade"": ""B"", ""source_case_index"": 4, ""source_i08_case_id"": ""I08-hko_t10-S20260805""}, ""status"": ""PASS"", ""step"": 1}"
decision:C3-hko_t10-S20260830:2,AgentDecision,"{""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY"", ""step"": 2}"
decision:C3-hko_t10-S20260830:3,AgentDecision,"{""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L0"", ""c3_stationary_eligible"": true, ""claim"": ""threshold"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE"", ""step"": 3}"
decision:C3-hko_t10-S20260830:4,AgentDecision,"{""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED"", ""step"": 4}"
case:C3-asce7_risk4_fl-S20260830,C3WindCase,"{""U10_mps"": 58.3, ""c3_case_id"": ""C3-asce7_risk4_fl-S20260830"", ""c3_claim"": ""offsite_reference"", ""c3_layer"": ""L3"", ""c3_order"": 5, ""c3_response_state"": ""NOT_MATERIALIZED"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""grade"": ""B"", ""group"": ""G0_site"", ""gust_mps"": 82.8, ""id"": ""asce7_risk4_fl"", ""n"": 5, ""name_cn"": ""ASCE7风险IV类佛罗里达"", ""source_case_index"": 5, ""source_i08_case_id"": ""I08-asce7_risk4_fl-S20260805"", ""source_name_cn"": ""ASCE 7 IV类风险佛州角风区"", ""source_stationarity"": ""stationary_ok"", ""stationary"": true, ""wind_pressure_index"": 2.246146}"
authority-record:asce7_risk4_fl,SourceAuthorityRecord,"{""Davenport_C"": ""8.0"", ""Iu"": ""0.12"", ""Kaimal_Lu_m"": ""120.0"", ""Kaimal_Lw_m"": ""60.0"", ""U10_sustained_ms"": ""58.3"", ""U_deck_ms"": ""71.17759845783631"", ""case_index"": ""5"", ""category"": ""design_code"", ""coherence_model"": ""Davenport_exp"", ""confidence"": ""B"", ""derived_seed"": ""20260805"", ""derived_u_component_seed"": ""20260816"", ""derived_w_component_seed"": ""20260834"", ""dt_s"": ""0.05"", ""duration_s"": ""600.0"", ""github_scenario_id"": ""asce7_risk4_fl"", ""github_seed_status"": ""NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP"", ""gust3s_ms"": ""82.8"", ""gust3s_role"": ""METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION"", ""i08_case_id"": ""I08-asce7_risk4_fl-S20260805"", ""materialization_status"": ""NOT_MATERIALIZED_MATRIX_ONLY"", ""maximum_frequency_hz"": ""5.0"", ""minimum_frequency_hz"": ""0.0016666666666666668"", ""minimum_frequency_policy"": ""GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record"", ""name_cn"": ""ASCE 7 IV类风险佛州角风区"", ""note_cn"": ""3秒阵风区划值/1.42 得等效10分钟值; 区划约值"", ""region"": ""美国佛罗里达"", ""representative_event"": ""Risk Cat IV ~185 mph 3-s gust"", ""sample_count"": ""12000"", ""sigma_u_definition"": ""sigma_u=Iu*U10_not_Iu*U_deck"", ""sigma_w_over_sigma_u"": ""0.5"", ""solver_execution_status"": ""NOT_EXECUTED"", ""source"": ""ASCE 7-22 风速区划图 (Risk Category IV)"", ""stationarity"": ""stationary_ok"", ""structural_damping_ratio"": ""0.005"", ""wind_profile"": ""U_deck=U10*ln(60/0.003)/ln(10/0.003)"", ""wind_spectrum"": ""Kaimal""}"
github-event:asce7_risk4_fl,GitHubEvent,"{""scenario_id"": ""asce7_risk4_fl"", ""source_case_index"": 5, ""source_stationarity"": ""stationary_ok""}"
evidence-bundle:C3-asce7_risk4_fl-S20260830,ResultEvidenceBundle,"{""authority_bound"": true, ""c3_response_state"": ""NOT_MATERIALIZED"", ""modal_receipt_bound"": true, ""numerical_response_metrics"": false, ""scope"": ""C3_MODEL_MIGRATION""}"
response:C3-asce7_risk4_fl-S20260830,C3CaseResponse,"{""state"": ""NOT_MATERIALIZED"", ""transferred_numeric_values"": false}"
trace:C3-asce7_risk4_fl-S20260830,AgentTrace,"{""dispatch"": false, ""final_status"": ""NOT_ARMED""}"
legacy-result:asce7_risk4_fl,LegacyResultPointer,"{""case_id"": ""asce7_risk4_fl"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_file_sha256"": ""e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49"", ""source_i08_case_id"": ""I08-asce7_risk4_fl-S20260805"", ""source_model"": ""Double-MCT"", ""source_path"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv"", ""source_row_key"": ""I08-asce7_risk4_fl-S20260805"", ""use_as_c3_truth"": false}"
decision:C3-asce7_risk4_fl-S20260830:1,AgentDecision,"{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 5, ""case_id"": ""asce7_risk4_fl"", ""grade"": ""B"", ""source_case_index"": 5, ""source_i08_case_id"": ""I08-asce7_risk4_fl-S20260805""}, ""status"": ""PASS"", ""step"": 1}"
decision:C3-asce7_risk4_fl-S20260830:2,AgentDecision,"{""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY"", ""step"": 2}"
decision:C3-asce7_risk4_fl-S20260830:3,AgentDecision,"{""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L3"", ""c3_stationary_eligible"": true, ""claim"": ""offsite_reference"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE"", ""step"": 3}"
decision:C3-asce7_risk4_fl-S20260830:4,AgentDecision,"{""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED"", ""step"": 4}"
case:C3-infa_2021_zhoushan-S20260830,C3WindCase,"{""U10_mps"": 35.8, ""c3_case_id"": ""C3-infa_2021_zhoushan-S20260830"", ""c3_claim"": ""same_sea"", ""c3_layer"": ""L2"", ""c3_order"": 6, ""c3_response_state"": ""NOT_MATERIALIZED"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""grade"": ""A"", ""group"": ""G1_typhoon"", ""gust_mps"": null, ""id"": ""infa_2021_zhoushan"", ""n"": 6, ""name_cn"": ""2021烟花舟山登陆"", ""source_case_index"": 11, ""source_i08_case_id"": ""I08-infa_2021_zhoushan-S20260805"", ""source_name_cn"": ""台风烟花登陆(长三角本地)"", ""source_stationarity"": ""stationary_ok"", ""stationary"": true, ""wind_pressure_index"": 0.846968}"
authority-record:infa_2021_zhoushan,SourceAuthorityRecord,"{""Davenport_C"": ""8.0"", ""Iu"": ""0.12"", ""Kaimal_Lu_m"": ""120.0"", ""Kaimal_Lw_m"": ""60.0"", ""U10_sustained_ms"": ""35.8"", ""U_deck_ms"": ""43.70768481630429"", ""case_index"": ""11"", ""category"": ""typhoon"", ""coherence_model"": ""Davenport_exp"", ""confidence"": ""A"", ""derived_seed"": ""20260805"", ""derived_u_component_seed"": ""20260816"", ""derived_w_component_seed"": ""20260834"", ""dt_s"": ""0.05"", ""duration_s"": ""600.0"", ""github_scenario_id"": ""infa_2021_zhoushan"", ""github_seed_status"": ""NOT_PRESENT_IN_GITHUB_SPECTRAL_SWEEP"", ""gust3s_ms"": """", ""gust3s_role"": ""METADATA_ONLY_NOT_CONSUMED_BY_WIND_GENERATION"", ""i08_case_id"": ""I08-infa_2021_zhoushan-S20260805"", ""materialization_status"": ""NOT_MATERIALIZED_MATRIX_ONLY"", ""maximum_frequency_hz"": ""5.0"", ""minimum_frequency_hz"": ""0.0016666666666666668"", ""minimum_frequency_policy"": ""GitHub_N_GRID_min_5e-4_Hz_raised_to_1_over_600_for_periodic_600s_record"", ""name_cn"": ""台风烟花登陆(长三角本地)"", ""note_cn"": ""CMA 2分钟平均38/1.06; 预报沿海阵风14-16级(41.5-56.1); 本库唯一穿越桥址流域的台风样本"", ""region"": ""中国浙江舟山->江苏"", ""representative_event"": ""In-Fa 2021-07-25 舟山普陀登陆 38 m/s(2-min), 965 hPa; 江苏滞留37 h"", ""sample_count"": ""12000"", ""sigma_u_definition"": ""sigma_u=Iu*U10_not_Iu*U_deck"", ""sigma_w_over_sigma_u"": ""0.5"", ""solver_execution_status"": ""NOT_EXECUTED"", ""source"": ""中央气象台/浙江气象灾害评估报告 (thepaper.cn newsDetail 13809642)"", ""stationarity"": ""stationary_ok"", ""structural_damping_ratio"": ""0.005"", ""wind_profile"": ""U_deck=U10*ln(60/0.003)/ln(10/0.003)"", ""wind_spectrum"": ""Kaimal""}"
github-event:infa_2021_zhoushan,GitHubEvent,"{""scenario_id"": ""infa_2021_zhoushan"", ""source_case_index"": 11, ""source_stationarity"": ""stationary_ok""}"
evidence-bundle:C3-infa_2021_zhoushan-S20260830,ResultEvidenceBundle,"{""authority_bound"": true, ""c3_response_state"": ""NOT_MATERIALIZED"", ""modal_receipt_bound"": true, ""numerical_response_metrics"": false, ""scope"": ""C3_MODEL_MIGRATION""}"
response:C3-infa_2021_zhoushan-S20260830,C3CaseResponse,"{""state"": ""NOT_MATERIALIZED"", ""transferred_numeric_values"": false}"
trace:C3-infa_2021_zhoushan-S20260830,AgentTrace,"{""dispatch"": false, ""final_status"": ""NOT_ARMED""}"
legacy-result:infa_2021_zhoushan,LegacyResultPointer,"{""case_id"": ""infa_2021_zhoushan"", ""source_commit"": ""3b135b2c1a1b5c961ce68a101a0414fa0b525d85"", ""source_file_sha256"": ""e5bb379a64a091e8fdb561c7c4689af345d397677aefdd18322bc54db41d1a49"", ""source_i08_case_id"": ""I08-infa_2021_zhoushan-S20260805"", ""source_model"": ""Double-MCT"", ""source_path"": ""catwalk-fem/ccx-results/CW-CCX-GH43-BUF-20260830-I08-double-mct-rom/results/I08_43CASE_MASTER.csv"", ""source_row_key"": ""I08-infa_2021_zhoushan-S20260805"", ""use_as_c3_truth"": false}"
decision:C3-infa_2021_zhoushan-S20260830:1,AgentDecision,"{""agent"": ""AuthorityAgent"", ""decision"": ""C3_CASE_AUTHORITY_CONFIRMED"", ""facts"": {""c3_order"": 6, ""case_id"": ""infa_2021_zhoushan"", ""grade"": ""A"", ""source_case_index"": 11, ""source_i08_case_id"": ""I08-infa_2021_zhoushan-S20260805""}, ""status"": ""PASS"", ""step"": 1}"
decision:C3-infa_2021_zhoushan-S20260830:2,AgentDecision,"{""agent"": ""SolverEvidenceAgent"", ""decision"": ""C3_MODAL_EVIDENCE_BOUND_CASE_RESPONSE_NOT_MATERIALIZED"", ""facts"": {""case_response"": ""NOT_MATERIALIZED"", ""deck_sha256"": ""667c504770b99d4a3c484a114e16bb7c048c883d3a004f3e10dd71536f33dc86"", ""modal_modes"": 14}, ""status"": ""MODAL_EVIDENCE_ONLY"", ""step"": 2}"
decision:C3-infa_2021_zhoushan-S20260830:3,AgentDecision,"{""agent"": ""PhysicsBoundaryAgent"", ""decision"": ""AWAITING_C3_CASE_RESPONSE"", ""facts"": {""c3_layer"": ""L2"", ""c3_stationary_eligible"": true, ""claim"": ""same_sea"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""legacy_value_transfer"": false, ""source_stationarity"": ""stationary_ok""}, ""status"": ""AWAITING_C3_CASE_RESPONSE"", ""step"": 3}"
decision:C3-infa_2021_zhoushan-S20260830:4,AgentDecision,"{""agent"": ""WarningPolicyAgent"", ""decision"": ""NOT_ARMED"", ""facts"": {""c3_response"": ""NOT_MATERIALIZED"", ""dispatch"": false, ""physics_decision"": ""AWAITING_C3_CASE_RESPONSE""}, ""status"": ""NOT_ARMED"", ""step"": 4}"
case:C3-doksuri_2023_jinjiang-S20260830,C3WindCase,"{""U10_mps"": 47.2, ""c3_case_id"": ""C3-doksuri_2023_jinjiang-S20260830"", ""c3_claim"": ""same_sea"", ""c3_layer"": ""L2"", ""c3_order"": 7, ""c3_response_state"": ""NOT_MATERIALIZED"", ""classification_disposition"": ""UNCHANGED_STATIONARY_ELIGIBLE"", ""grade"": ""A"", ""group"": ""G1_typhoon"", ""gust_mps"": null, ""id"": ""doksuri_2023_jinjiang"", ""n"": 7, ""name_cn"": ""2023杜苏芮晋江登陆"", ""source_case_index"": 12, ""source_i08_case_id"": ""I08-doksuri_2023_jinjiang-S20260805"", ""source_name_cn"": ""台风杜苏芮登陆福建"", ""source_stationarity"": ""stationary_ok"", ""stationary"": true, ""wind_pressure_index"": 1.472261}"
